,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8
-2771.778086_3445.402956,34.46300940978856,1471.9274327775433,560.369489331139,133.92901907645793,2735.808140688651,22.625704064491877,10.252655674487587,202.23778400691978,186.94597083853668
-2771.778086_3545.402956,218.1383021446262,2728.0626616073873,212.79121929928493,180.1294928594464,1451.9264208092693,65.81916386975436,0.7248335801414336,204.31048375729603,34.656614294454464
-2771.778086_3645.402956,604.562736859585,3476.551699069016,748.0422857911733,18.03391947129642,1409.0082694337414,52.799607513371015,0.8385893969082565,386.29195067719064,133.33952159968214
-2771.778086_3745.402956,482.3411523514042,2636.6970695456193,70.37973274052376,94.6432473593148,285.60999465710705,25.99036430262209,348.65158556283217,310.2799425023804,6.890135681569648
-2771.778086_3845.402956,1057.3421878335894,2981.9013689033372,3.883206828757764,128.45007901027003,1057.2316462249403,76.84247585134332,307.77976388835566,168.92354934802955,738.0301513104843
-2771.778086_3945.402956,123.95090667852318,678.8471196442748,52.38784454655834,298.3229429022695,110.47358498275624,1317.698861712635,1.1026135808232236,160.61985834466282,149.97300786957098
-2771.778086_4045.402956,11.905432369698058,86.20716690483316,14.393662067565458,8.491750979662182,20.177329164814292,4529.985205018391,0.24634915389466774,0.10500534279208237,129.18116093857003
-2771.778086_4145.402956,29.73093447297834,462.2149798649747,32.038187711009265,9.690466059210065,0.2581919424982555,3507.807534733136,0.24559623238135675,0.1050101356939328,227.60215526367196
-2771.778086_4245.402956,39.35136890936747,2682.1494942723266,55.089397786233974,0.2398764546765877,0.2573328610361387,30.328629874090375,0.24576383676266936,14.144565147858733,10.886625521122111
-2871.778086_2745.402956,2582.8615345835974,170.21643514846224,188.2026053119187,300.3613415226259,1549.4730342222572,44.892211061916925,24.933995864869605,1112.1797117104188,138.17811465247877
-2871.778086_2845.402956,1207.2181757533185,269.0081716319956,250.29635309962913,34.65169948487255,3276.2589071723037,249.04857088504897,588.0797009483776,324.0549485486763,117.32920071416672
-2871.778086_2945.402956,692.7271900139518,203.84564488833198,16.29208486912829,702.8134714223991,3323.6606808744973,32.79015135818365,319.92124576795976,32.08776917502522,118.44390017717063
-2871.778086_3045.402956,160.1751150339718,333.23453978671904,0.4592594833725182,1142.1533980683653,4323.675881043897,66.08870610849148,542.3795364613488,0.10932406085254291,349.251288841586
-2871.778086_3145.402956,613.9214198171225,257.42986000981244,540.2573754791916,1877.1362787502487,4594.784931605357,51.383610509434774,25.60325515685396,0.10932022621774004,18.111368998972218
-2871.778086_3245.402956,390.7577781230346,189.24480989946807,429.7905080928232,1011.2303084110657,4092.293514599247,45.619549273234945,182.45850704342283,0.10933754018360191,189.3060149292673
-2871.778086_3345.402956,782.9827474539485,188.16145210084343,378.261366420341,1060.385099512398,3082.744872936793,79.15020836241554,21.903730176880526,390.61533470379044,34.34387424834637
-2871.778086_3445.402956,711.5199291840612,127.87805696838589,135.79290539425182,320.6162455713755,2660.8492306108283,174.9775448536531,30.383488349765724,721.9101725291983,10.750836664028215
-2871.778086_3545.402956,1019.7882312923191,462.38556298692237,1094.5757572414338,393.4251575178904,1046.0486648867186,89.91539573430589,369.8883087896988,612.4619899472674,31.355031502990148
-2871.778086_3645.402956,305.6648872495538,272.51386866331364,94.58126587993122,688.6990440225005,638.2684590085196,149.49872940608074,983.5864602184206,243.46279065798313,214.47061199415901
