,0,1,2,3,4,5,6,7,8,9,10,11
-2371.778086_3345.402956,0.09665177709317707,0.017123088182237123,0.053207848608104166,0.2613318147284082,0.4704767852950906,7.795942866613256e-05,0.027360525785387987,0.0041931924245075065,5.513229901948189e-05,0.03891929276485101,0.02924514829659751,0.0013574350939529278
-2371.778086_3445.402956,0.15819075408645436,0.05162365277427956,0.07595991948231735,0.11960595701032631,0.2496488467753199,0.04179142685483577,0.0014403806021535967,0.21262547711739196,5.820795350623429e-05,0.013591603431006998,0.07010377633456881,0.005359997577839142
-2371.778086_3545.402956,0.17340873291465753,0.02181146676077771,0.05784389092525221,0.25017578926341544,0.2536931273382843,9.483601943705164e-05,0.009040307686822725,0.17488967380032605,5.14518011193965e-05,0.03692003408945485,0.002807603268518013,0.019263086131934535
-2371.778086_3645.402956,0.2746706523611682,0.04030902198756013,0.09797771583908302,0.0013591419339658668,0.16921550086745893,0.055905129236933984,0.00020342026270643264,0.15970755743708878,0.0008889311175276442,0.013052761761238308,0.047426937889155016,0.1392832293061137
-2371.778086_3745.402956,0.274533614396585,0.07340475534477081,0.00938466910954773,0.07307695269346184,0.11628048303631723,0.08424193501772682,0.0023357048965785,0.1059548100640978,0.0012812710039678597,0.014163975196702613,0.06314844135431008,0.18219338788593364
-2371.778086_3845.402956,0.33873586503022146,0.027048990948575956,0.008989547032870958,0.16506387640656509,0.08671470971580776,0.07911803226517089,0.012305337255719513,0.09088878732993429,0.006836639608479034,0.03283671597705634,0.021579275990359043,0.12988222243923958
-2371.778086_3945.402956,0.3994702117825768,0.02632824462837913,0.04027547248149849,0.07151908221392052,0.13453021024602252,0.00017681292868406296,0.007031871953085028,0.17936251449863638,0.001996307209937442,0.021093621204889924,0.016868986335789878,0.10134666451658005
-2371.778086_4045.402956,0.19980343139845527,0.011824003866465533,0.16617422903975418,0.12896750872851648,0.052822683636018726,0.06629611215788937,0.0001383467286786022,0.20422443563641238,0.001164739210111255,0.020529854753373437,0.10102890472689849,0.04702575011742636
-2371.778086_4145.402956,0.004196884858941087,0.014512546897769601,0.15066878800572733,0.07539447100303084,0.011141236243964254,0.11186702292177515,0.00013276161461128386,0.11200332160390089,0.001909694227921771,0.096613095493683,0.2934065101606514,0.1281536669680234
-2371.778086_4245.402956,4.278293680193978e-05,7.240202060288492e-05,3.849360834384015e-05,0.056061260664930314,0.002104586394833907,0.195635764254884,0.009742557425979612,6.459646701491924e-05,7.112020251855966e-05,0.026719856486315897,0.5998742148896109,0.10957236464816329
-2471.778086_2745.402956,0.3756256320963038,0.055949573530192614,0.004469850879098409,0.015691714264994657,0.032421522364364797,0.04005983320138711,0.19850929513659066,0.19737999021396668,0.0005050657620878799,0.025407852191313193,0.0006395179954254308,0.05334015236427492
-2471.778086_2845.402956,0.3727656916322795,0.04190096391350459,0.020049164177734353,0.3314612422065138,0.02459719778688806,0.05611225269500752,0.0461416668883602,0.03782629616323426,6.540750933871491e-05,0.06881892503783164,5.767810612613214e-05,0.00020351388318115684
-2471.778086_2945.402956,0.5013750948595871,0.04273084511782853,0.0489800674599689,0.05570449584321096,0.16926584018488045,0.029333471585503486,0.0040887143031506715,0.10176125136763835,0.00019843412999539172,0.0018907721774574847,0.018569350118761745,0.02610166285201697
-2471.778086_3045.402956,0.3429205316882417,0.06048180809067697,0.003384177829443776,0.06565946419567732,0.2591309385894509,0.037136823862094936,0.044301739909762265,0.014435951622764658,2.5538139775486567e-05,0.09389973426201534,0.053134554196995226,0.025488737613101477
-2471.778086_3145.402956,0.11247100952918286,0.0014534810910988975,0.08178874234089907,0.15455172482760812,0.5346100920303273,0.06125493557128176,0.002552260419841491,0.034381604023058024,3.755495431962622e-05,0.0010859078178367214,0.001189792787662835,0.014622894606883308
-2471.778086_3245.402956,0.0428482744429371,0.003870337058774662,0.09021510998247351,0.25435281918212876,0.5790365256841663,0.020990810486530554,0.0028469279318153666,0.0001351078811750963,2.512821632103743e-05,0.0014843967197953772,0.004151864465169057,4.269794871315624e-05
-2471.778086_3345.402956,0.06581820683985265,0.00836070096973441,0.06130867570758662,0.1373894490816062,0.43567996693775324,0.052201820321475544,0.002865638490600076,0.1626406508997006,4.542651698539751e-05,3.495632696389424e-05,0.0060711628821127515,0.06758334502562857
-2471.778086_3445.402956,0.14275813953542613,0.017664654978889603,0.02640524508218642,0.1683213854774621,0.19506290951722216,4.8658439055357765e-05,0.014942339413303026,0.13222009308789284,4.929245550179586e-05,0.09830204879000051,0.023214042721996158,0.18101119050106407
-2471.778086_3545.402956,0.19097071692154274,0.05071283373238149,0.039310509336866695,0.162644806540018,0.14780317407342192,8.257758220514593e-05,0.007821880707390047,0.24263434943220877,0.0009294247053933579,0.02576888573056284,0.002491020474552012,0.1288298207634569
-2471.778086_3645.402956,0.20524830745853792,0.017672769543828477,0.11011434392535056,0.025154815780168573,0.127033374888867,0.010447492963886796,0.01939561771145128,0.13990813662003668,6.332537944466625e-05,0.09717192352341984,0.03715021330287941,0.21063967890212892
-2471.778086_3745.402956,0.2935655441924274,0.006142761912750042,0.08283985845432874,0.1344601828499802,0.1339703983874036,0.00011732983359116504,0.006753318696699265,0.21901819387682567,7.799874506752996e-05,0.0015899355627561817,0.025967211947078305,0.09549726554109171
-2471.778086_3845.402956,0.27306775164584773,0.0051830734228866665,0.07302402071059427,0.01167429905799028,0.14799541470567007,0.028010709032884818,0.017327542137468198,0.16417732148215808,0.032280319132186756,0.0985945858854943,0.001757559643775703,0.14690740314304307
-2471.778086_3945.402956,0.278172194593242,0.02082833711529,0.18858129610167065,6.20354830225885e-05,0.1797894126401589,0.09092084088701176,5.3993072500051396e-05,0.08947814752358928,0.0008983040479481473,0.011579264844563819,0.046762456710304476,0.09287371698069832
-2471.778086_4045.402956,0.0396076221195972,0.014969883355843419,0.28831255867638683,0.00011911563231488349,0.0007783289724897256,0.046787071366853096,0.03008306977936338,0.04091271488991923,0.009275581229961498,0.40873869504457366,0.04059797674999151,0.07981738218270573
-2471.778086_4145.402956,0.11223735379012521,0.00038516118673951553,0.10078662381719446,0.008789963523904223,0.07385123019801111,0.027935526966030803,0.00010762647716572177,0.22077418953024572,0.011892872052514082,0.30823831222664144,0.13275761186564758,0.002243528365780235
